id,name,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k16_foreigners,k06_change_proportion_of_foreigner,k17_non_eu_foreigners,k07_foreign_transfer_recipients,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
104009,Mahlsdorf,29757,0.14648,19.77528,0.658,14.96764,8.93907,3.81087,0.53195,61.37566,12.48861,30.9171,75.77528,12.74456,1.08918,6.54455
111001,"Malchow, Wartenberg und Falkenberg",5491,2.09924,19.25795,2.34681,31.81387,18.30268,12.80277,4.58617,81.50782,39.14286,89.40084,67.71957,29.41546,6.65885,19.51735
111002,Neu-Hohenschönhausen Nord,29742,4.86059,43.54067,6.38203,49.56278,31.26219,20.60722,4.56965,78.44673,44.72019,0,69.6114,18.33824,0.99502,3.84664
111003,Neu-Hohenschönhausen Süd,27098,5.47178,40.93716,4.34864,50.6263,28.0648,17.37767,1.89209,79.06137,42.41364,0.55355,73.39553,16.32099,-0.21812,-2.16075
112004,Alt-Hohenschönhausen Nord,16854,4.15493,30.62731,2.14286,46.55808,27.82722,19.24172,2.43794,77.02744,37.29662,14.25181,63.1672,22.63001,1.70337,2.31011
112005,Alt-Hohenschönhausen Süd,33216,3.8765,32.30812,2.49624,46.59553,26.52938,17.60597,2.39233,79.51436,36.09951,0.92425,64.96052,23.0214,1.1066,0.17203
113006,Fennpfuhl,33751,2.79563,36.86957,2.97179,55.49145,32.49978,20.10311,1.82242,75.09211,23.02811,69.26017,68.41697,23.37618,0.45302,-2.13115
113007,Alt-Lichtenberg,31403,2.51931,32.67394,4.99247,40.66681,33.21976,24.60911,-0.43065,60.85663,14.0485,26.85731,53.13765,45.36856,0.79105,-9.25947
113008,Frankfurter Allee Süd,9956,2.5544,34.00447,4.3579,61.0998,37.7963,23.75452,1.5312,80.88795,26.0453,92.49699,68.58887,20.38304,-0.64275,2.98368
114009,Neu-Lichtenberg,34067,2.30299,32.93229,6.06436,34.5536,24.80113,16.62313,1.94817,61.68109,21.03648,3.135,58.5135,26.61634,0.25571,-4.40852
114010,Friedrichsfelde Nord,15775,3.80328,30.8642,4.30403,59.31232,35.71474,23.33439,2.73128,71.90981,31.05556,72.56418,58.40193,27.22913,2.34417,-1.61455
114011,Friedrichsfelde Süd,27002,2.83976,35.42562,2.73619,52.3224,28.78305,18.16532,4.06701,79.10296,31.56677,0,66.23665,20.91092,3.24486,7.24728
115012,Rummelsburger Bucht,4244,2.05882,18.79815,2.24719,29.49907,22.6673,13.0066,0.90982,71.73913,36.48148,0.14138,60.33592,18.92235,-0.96655,-6.10394
115013,Karlshorst,28238,0.99174,24.92342,1.86176,20.31611,17.15065,10.26985,1.46383,70.27586,10.86341,0,62.61135,23.95254,1.33718,1.95209
121001,Ost 1 - Reginhardstraße,28673,4.42393,33.12124,9.99531,75.63757,50.61905,30.65602,2.25672,63.2992,33.06471,100,63.51456,24.05648,-0.01846,-4.94082
121002,Ost 2 - Alt-Reinickendorf,27587,3.72626,35.43151,6.88439,69.55059,44.3071,24.96103,2.54673,66.38106,26.97471,92.55084,64.23849,24.92515,1.17192,-1.25823
122003,West 4 - Auguste-Viktoria-Allee,27319,4.44299,33.6034,8.51677,78.51978,52.06999,31.10656,2.49828,60.75547,38.77987,95.42077,64.74876,26.83622,0.23373,-2.24804
122004,West 1 - Tegel-Süd/Flughafensee,16267,2.99554,31.21762,5.78391,58.46571,38.26766,20.64917,1.75429,68.35368,32.54763,12.70671,67.1472,22.71234,0.9359,2.53469
122005,West 5 - Tegel,10959,2.20493,27.62692,3.39346,44.55598,24.24491,13.94288,1.54255,58.11518,20.93541,0,63.80707,20.83287,1.45692,-3.87522
124006,West 2 - Heiligensee/Konradshöhe,24376,0.22904,20.58697,1.3046,26.25881,14.53479,5.85412,0.31499,57.39313,14.01945,3.0891,76.28923,14.21386,0.43915,4.05022
124007,Nord 1 - Frohnau/Hermsdorf,33415,0.34447,19.87692,1.53402,25.62913,14.55035,6.33249,0.39899,51.32325,15.19608,0,75.56027,14.84918,0.52477,8.65522
125008,West 3 - Borsigwalde/Freie Scholle,16415,2.54058,35.26393,4.23058,36.8471,20.94426,12.15352,1.87002,62.05514,23.78349,41.12093,69.07118,18.84181,0.00935,-3.3879
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,31761,2.23856,27.57722,2.65281,43.99305,25.83357,13.86606,0.62605,67.27975,24.8642,0.02834,68.20807,41.23636,1.16801,2.02963
126010,Rollbergesiedlung,9232,2.98939,30.86681,6.95397,66.99843,42.77513,24.89168,1.26489,71.14883,51.56762,94.67071,69.18732,15.80767,-0.25279,-0.38462
126011,MV Nord,26332,5.06987,34.40789,7.03636,71.80624,48.75437,24.36199,1.89471,73.67108,42.4909,85.47015,71.11426,13.67748,0.4594,1.19351
126012,MV Süd,13787,4.04656,29.62733,7.0334,77.53086,54.38457,27.64923,1.50931,77.43966,42.99747,66.80206,73.06982,15.18975,0.06488,1.21832
